193	RPL42B	1.336	1.096	1.143	0.137	-0.997	-1.986	0.011
194	YHR143BW	-0.263	0.637	0.459	-0.737	-0.485	-0.585	0.341
195	DCD1	0.468	0.766	0.599	-0.101	-0.513	-0.545	-0.163
196	CRP1	0.375	0.188	0.151	-0.075	0.115	0.167	-0.605
197	IMP3	1.086	0.925	0.71	-0.659	-1.056	-0.925	-0.083
198	PEX28	0.129	0.188	0.467	-0.104	0.095	0.634	0.278
199	VID28	-0.399	-0.326	0.136	0.135	0.622	0.843	-0.281
200	FAF1	1.05	0.898	0.256	-1.415	-1.447	-1.496	-0.19
201	RPB3	0.706	0.732	0.452	0.177	-0.089	-0.665	-0.225
202	YKE4	0.054	-0.162	0.098	-0.232	0.454	0.996	0.552
203	YIL025C	0	-0.771	-0.263	-0.31	-0.459	-0.234	0
204	EMC5	0.56	0.807	0.511	0.081	-0.053	-0.074	-0.065
205	POR2	0.8	0.725	0.432	0.118	0	-0.225	-0.458
206	HIS5	0.1	0.092	-0.025	0.491	0.526	0.633	0.047
207	RHO3	0.305	0.63	0.351	0.368	0.254	-0.024	0.475
208	QDR1	0.12	-0.206	-0.14	-0.133	-0.054	0.573	0.131
209	POG1	-0.376	-0.673	-0.394	-0.485	-0.348	0.646	0.243
210	AYR1	0.474	0.053	0.187	0.237	0.512	0.755	-0.034
211	MGA2	-0.074	-0.055	0.106	0.336	0.319	0.135	-0.389
212	YIR035C	0.302	0.68	0.616	-0.122	0.255	1.082	0.272
213	HYR1	0.162	0.28	0.127	0.4	0.976	1.059	0.01
214	YPS6	-1.155	-0.706	-0.951	-0.205	0.805	1.735	0.515
215	PAU15	-0.462	-0.415	-0.334	-0.215	0.322	0.876	0.075
216	YIR043C	-0.24	-0.069	-0.089	0.195	0.858	1.388	0.667
217	YJL086C	-0.374	-0.464	-0.447	-0.841	-0.602	-0.604	-0.585
218	ARG3	-0.305	-0.778	-0.862	-0.604	-0.447	1.385	0.165
219	DPB11	0.021	-0.154	0.379	-0.107	0.157	0.267	-0.103
220	SRS2	0.092	0.655	-0.275	-0.263	-0.189	0.502	-0.154
221	KHA1	0.087	0.17	0	-0.193	-0.193	0.678	0.138
222	MRPL49	0.694	0.503	0.831	0.208	-0.08	-0.599	-0.316
223	YJL182C	-0.433	-0.308	0.181	-0.766	-0.464	-1.078	-0.382
224	GON7	0.669	0.54	0.668	0.501	-0.335	-0.315	0.194
225	MNN5	0.654	0.444	0.424	0.112	-0.188	-0.252	-0.074
226	YJL188C	1.191	0.982	0.907	0.289	-0.913	-1.98	0.057
227	RPS22A	1.306	0.948	0.915	0.435	-1.038	-2.139	0.279
228	SOP4	0.669	0.425	0.436	0.376	0.228	0.014	0.107
229	BFA1	-0.067	0	-0.295	-0.389	-0.233	-0.127	-0.345
230	HIT1	0.158	0.666	0.276	-0.128	-0.136	0.023	0.104
231	CDC8	0.628	0.457	0.164	0.168	0.063	-0.055	-0.039
232	PTK2	-0.36	-0.3	0.232	0.102	0.575	0.69	-0.407
233	YJR061W	0.152	0.131	0.356	-0.067	0.033	0.706	0.431
234	RPA12	0.878	0.854	0.448	-0.173	-0.732	-1.182	0.072
235	DAN1	1.159	0.429	0.254	-1.085	0.032	-0.893	-0.117
236	DAL5	-0.222	-0.142	0.044	0.531	0.313	0.752	0.541
237	YJR154W	-0.129	-0.507	-0.415	-0.558	-0.267	0.6	0.312
238	THI11	-0.862	-1.415	-1.435	-0.903	-0.383	1.663	1.206
239	HXT16	-0.263	-0.481	-0.456	-0.565	-0.317	0.628	0.482
240	MPH3	0	0.322	0	0.531	-0.222	0	-0.152
241	YKL083W	0.053	-0.387	0.402	-0.397	-0.562	-0.455	-0.128
242	MDH1	0.368	0.107	0.595	0.027	0.35	0.909	-0.157
243	CYT2	0.085	0.193	0.712	0.44	-0.062	0.455	-0.436
244	MIF2	0.197	0.468	-0.119	-0.42	-0.296	0.163	-0.371
245	YKL091C	-0.46	-0.215	0.142	0.177	0.589	0.892	-0.361
246	MBR1	-0.167	-0.447	-0.079	-0.266	0.06	0.753	0.021
247	STE3	-0.368	-0.788	-0.498	-0.67	-0.674	-0.057	-0.17
248	RPL17A	1.399	0.824	1.056	0.215	-0.672	-1.665	0.145
249	FAS1	0.289	0.168	0.077	-0.221	-0.196	-0.43	-0.302
250	SPE1	0.521	0.351	0.321	-0.002	0.113	0.155	0.033
251	MTR2	0.326	0.115	0.025	-0.178	-0.188	0.285	-0.056
252	PXA2	-0.889	-1.132	-0.571	-0.211	0.129	1.133	-0.063
253	FMP46	-0.48	-0.537	-0.318	-0.35	0.215	1.27	0.069
254	YKR051W	0.278	0.139	0.222	0.329	0.237	0.309	0
255	YSR3	-0.969	-1.235	-0.757	-0.059	1.319	1.589	0.556
256	RHO4	0.608	0.578	0.469	0.314	-0.045	0.543	-0.044
257	RPS21A	1.223	1.16	1.04	0.432	-0.993	-1.99	-0.016
258	TIF1	1.021	0.758	0.774	0.366	-0.184	-0.888	0.287
259	UBI4	-1.487	-1.389	-0.968	0.468	1.518	1.646	-0.088
260	SDH2	-0.286	-0.337	-0.125	0.399	0.687	1.424	-0.02
261	FPS1	0.309	0.127	0.258	0.058	0.115	-0.125	0.006
262	RPL8B	1.356	0.864	0.857	0.313	-0.864	-1.957	0.092
263	YLL047W	0.438	0.269	0.082	-0.096	-0.678	-1.469	-0.209
264	LDB18	0.518	0.289	0.079	-0.146	-0.044	-0.553	-0.054
265	FYV7	0.847	0.608	0.431	-0.85	-1.117	-1.322	-0.424
266	XYL2	-0.263	-0.447	0.057	-0.047	-0.231	0.558	-0.219
267	LAM6	-0.104	0.312	0.209	0.196	-0.14	0.436	0.022
268	BUD20	1.126	0.9	0.564	-1.016	-1.536	-0.876	0.177
269	YLR076C	1.122	0.795	1.073	0.322	-0.625	-1.534	0.334
270	BOS1	0.282	0.127	0.613	0.146	0.372	0.572	-0.191
271	SHH4	-0.498	-0.624	0.288	-0.138	0.272	1.037	-0.138
272	SEC10	-0.066	0.26	0.381	0.126	0.227	0.284	-0.322
273	UPS2	0.093	0.435	-0.112	-0.337	1.28	0.348	-0.138
274	APS1	-0.032	0.07	0.133	-0.283	0.048	0.185	-0.322
275	DPH5	1.023	0.608	0.6	-0.425	-0.78	-0.639	0.105
276	IDP2	-0.533	-0.35	-0.822	-0.845	-0.139	1.466	0.363
277	LCB5	-0.349	-0.306	-0.168	-0.139	-0.036	0.578	-0.023
278	YPT6	0.261	0.172	0.439	0.064	0.229	-0.367	-0.35
279	RPS28B	1.267	0.903	1.04	0.162	-0.934	-1.688	0.015
280	PDR8	0.074	0.077	0.271	0.057	0.313	0.399	0.075
281	SEC22	0.719	0.374	0.685	0.041	-0.243	-0.516	-0.243
282	DCS1	-0.467	-0.527	-0.141	0.418	1.206	1.272	-0.372
283	ATG33	-0.65	-0.766	-0.29	-0.166	0.695	1.604	0.258
284	YLR358C	0.186	0.244	0.201	-0.233	-0.266	-0.488	-0.255
285	VPS38	0.197	-0.007	0.152	0.213	0.213	0.204	-0.13
286	STE11	-0.14	-0.477	-0.255	-0.055	0.324	0.458	-0.169
287	GRX8	0.09	0.105	-0.224	0.012	-0.122	-0.259	-0.065
288	YLR366W	-0.692	-0.918	-0.585	-0.659	-0.314	0	-0.415
289	SST2	0.693	0.168	0.264	0.317	0.369	-0.519	-0.87
290	FMP27	0.485	-0.415	-0.415	0.515	-0.794	0.678	0.222
291	YLR456W	0.067	-0.193	0.437	-0.219	-0.018	0.133	-0.337
292	YLR458W	-0.665	-0.17	0.044	-0.315	-0.158	0.356	-0.498
293	YLR460C	0.432	-0.034	0.635	0.392	-0.447	-0.242	-0.515
294	YLR462W	0.138	-0.156	-0.079	-0.692	-0.644	0.062	-0.048
295	YML096W	0.644	0.462	0.686	-0.327	-0.31	-0.144	-0.234
296	TAF13	0.652	0	0.352	0.881	-0.363	0.222	0
297	TSL1	-2.198	-2.661	-1.473	0.034	1.209	2.246	0.205
298	CAC2	0.274	0.207	0.087	-0.375	-0.312	0.318	0.061
299	MDM1	0.351	0.062	-0.041	-0.495	-0.47	-0.282	-0.127
300	URA5	1.057	0.808	0.501	0.127	-0.44	-0.643	0.212
301	UBX4	0.262	0.111	0.323	0.529	0.171	0.28	0.032
302	NAT4	-0.079	-0.459	-0.313	-0.602	-0.671	1.242	-0.116
303	TVP18	0.408	0.269	0.531	0.224	0.387	-0.118	-0.14
304	IRC21	0.339	0.209	0.451	0	0.198	0.179	-0.129
